id, name, label0, label1, label2, label3, label4, label5
106, Daniel Weber, 1, 0, 0, 0, 0, 0
107, Yemin Luo, 0, 0, 1, 0, 0, 0
108, Michael Bain, 0, 0, 0, 1, 0, 0
109, Shuangjiu Xiao, 0, 0, 0, 0, 0, 1
110, Antoine Gerschenfeld, 0, 0, 0, 0, 1, 0
111, Igor V. Cadez, 0, 0, 0, 1, 0, 0
112, Yong Gao, 0, 3, 0, 1, 0, 0
113, Sven Jacobi, 0, 1, 0, 0, 0, 0
114, Arthur Choi, 0, 7, 0, 0, 0, 0
115, Farhad Oroumchian, 0, 0, 1, 0, 0, 0
116, Ping Sun, 0, 0, 0, 2, 0, 0
117, Trevor J. M. Bench-Capon, 0, 3, 0, 0, 0, 0
118, Pik-Shan Cheung, 0, 0, 1, 0, 0, 0
119, Zhi-Ping Feng, 0, 0, 0, 1, 0, 0
120, Lane A. Hemaspaandra, 0, 6, 0, 0, 0, 0
121, Noam Hazon, 0, 3, 0, 0, 0, 0
122, Ya Xu, 0, 0, 1, 0, 0, 0
123, Christopher Dugan, 0, 2, 0, 0, 0, 0
124, Liang Cai, 0, 0, 0, 0, 0, 1
125, Yuri Malitsky, 0, 2, 0, 0, 0, 0
126, Michael J. Zeitz, 0, 0, 0, 0, 0, 1
127, Anastasios N. Venetsanopoulos, 0, 1, 0, 0, 0, 0
128, Steven Luis, 0, 0, 0, 1, 0, 0
129, Davide Bertozzi, 0, 1, 0, 0, 0, 0
130, Mohamed Bouguessa, 0, 0, 0, 1, 0, 0
131, James Allan, 0, 2, 27, 0, 0, 0
132, Gye-Jeong Kim, 1, 0, 0, 0, 0, 0
133, Manish Jain, 0, 3, 0, 0, 0, 0
134, David Claus, 0, 0, 0, 0, 0, 1
135, Anne-Marie Vercoustre, 1, 0, 1, 0, 0, 0
136, Aining Yin, 0, 1, 0, 0, 0, 0
137, Christopher J. Moore, 0, 0, 0, 0, 0, 1
138, Siqing Gan, 0, 0, 0, 1, 0, 0
139, Maria Luisa Sapino, 4, 0, 0, 1, 0, 0
140, Lu Wang, 0, 0, 0, 0, 0, 3
141, Dov M. Gabbay, 0, 1, 0, 0, 0, 0
142, Shu Wu, 0, 0, 0, 1, 0, 0
143, Jesús A. De Loera, 0, 0, 0, 0, 1, 0
144, Lin Cheng, 0, 0, 0, 0, 0, 1
145, Roland Ramsahai, 0, 1, 0, 0, 0, 0
146, Renuka Sindhgatta, 0, 0, 0, 1, 0, 0
147, Hye-Young Paik, 2, 0, 0, 0, 0, 0
148, Younggoo Cho, 1, 0, 0, 0, 0, 0
149, Alexandre Sedoglavic, 0, 0, 0, 0, 1, 0
150, Jon Wetzel, 0, 1, 0, 0, 0, 0
151, Machiko Toyoda, 1, 0, 0, 0, 0, 0
152, Tan Shan, 0, 0, 0, 0, 0, 1
153, Phillip C.-Y. Sheu, 0, 0, 0, 1, 0, 0
154, Yantao Zheng, 0, 0, 0, 0, 0, 2
155, Landon Detwiler, 1, 0, 0, 0, 0, 0
156, Shiraz Ahmad, 0, 0, 0, 0, 0, 1
157, Sylvain Boltz, 0, 0, 0, 0, 0, 1
158, Yi-Zhe Song, 0, 0, 0, 0, 0, 2
159, Donald Young, 0, 0, 0, 1, 0, 0
160, Ricardo Matsumura de Araújo, 0, 1, 0, 0, 0, 0
161, Nick Gravin, 0, 0, 0, 0, 1, 0
162, Chiou-Shann Fuh, 0, 0, 0, 0, 0, 3
163, Rafael Schirru, 0, 0, 0, 1, 0, 0
164, Hung H. Bui, 0, 0, 0, 0, 0, 1
165, Dimitri Marinakis, 0, 4, 0, 0, 0, 0
166, Maxime Boucher, 0, 0, 0, 0, 0, 1
167, Bodla Rakesh Babu, 0, 1, 0, 0, 0, 0
168, Adrian Corduneanu, 0, 3, 0, 0, 0, 0
169, Daniel R. Thornton, 0, 0, 0, 0, 0, 1
170, Vivek Tawde, 0, 0, 1, 0, 0, 0
171, Xiangyuan Dai, 1, 0, 0, 0, 0, 0
172, Nicolas Delannay, 0, 1, 0, 1, 0, 0
173, Megan M. Olsen, 0, 2, 0, 0, 0, 0
174, Sang Ho Lee, 0, 0, 1, 0, 0, 0
175, Wheeler Ruml, 0, 6, 0, 0, 0, 0
176, Robi Polikar, 0, 1, 0, 0, 0, 1
177, Chih-Ming Hsu, 0, 0, 0, 2, 0, 0
178, Nicholas L. Armstrong-Crews, 0, 1, 0, 0, 0, 0
179, Yi Cheng, 0, 0, 0, 1, 0, 0
180, David A. McAllester, 0, 5, 0, 0, 1, 3
181, Amir Akbarzadeh, 0, 0, 0, 0, 0, 4
182, Jean-Pierre Chevallet, 0, 0, 3, 1, 0, 0
183, Jie Huang, 0, 0, 0, 1, 0, 0
184, Thomas Neumann 0001, 8, 0, 3, 0, 0, 0
185, Nicolás de Abajo, 0, 0, 0, 1, 0, 0
186, Julien Perez, 0, 0, 0, 1, 0, 0
187, Rajagopal Venugopal, 0, 0, 0, 1, 0, 0
188, Gang Zhao, 0, 0, 0, 1, 0, 0
189, Udo Miletzki, 0, 0, 0, 1, 0, 0
190, Sandeep Seri, 0, 1, 0, 0, 0, 0
191, David J. Hand, 0, 0, 0, 3, 0, 0
192, Moshe Kam, 0, 3, 0, 0, 0, 0
193, Shuo Feng, 0, 0, 0, 1, 0, 0
194, János Csirik, 0, 0, 0, 0, 1, 0
195, Ayesh Alshukri, 0, 0, 0, 1, 0, 0
196, Feng Shao, 2, 0, 0, 0, 0, 0
197, Erik Quaeghebeur, 0, 2, 0, 0, 0, 0
198, Gert R. G. Lanckriet, 0, 9, 2, 0, 1, 2
199, Qiang-Li Zhao, 0, 0, 0, 1, 0, 0
200, Stephan Vogel, 0, 1, 1, 1, 0, 0
201, John Novatnack, 0, 0, 0, 0, 0, 1
202, Tracy Hammond, 0, 9, 0, 0, 0, 0
203, Yiu-Kai Ng, 1, 0, 0, 0, 0, 0
204, Christopher Geyer, 0, 0, 0, 0, 0, 2
205, Olivier Y. de Vel, 0, 0, 0, 1, 0, 0
206, Joe Xavier, 1, 0, 0, 0, 0, 0
207, Feida Zhu, 3, 0, 0, 5, 0, 0
208, Mema Roussopoulos, 1, 0, 0, 0, 0, 0
209, David Emmitt, 0, 0, 0, 1, 0, 0
210, Jian Yao, 0, 0, 0, 0, 0, 2
211, Vishwa Vinay, 0, 0, 8, 0, 0, 0
212, Ian McDowall, 0, 0, 0, 0, 0, 1
213, Matthew R. Rudary, 0, 4, 0, 0, 0, 0
214, Robert W. Irving, 1, 0, 0, 0, 2, 0
215, Olivier Bousquet, 0, 2, 0, 0, 6, 0
216, Stefan Schrödl, 0, 1, 0, 0, 0, 0
217, Patrice Dalle, 0, 0, 0, 0, 0, 1
218, Nicholas J. Belkin, 0, 0, 11, 0, 0, 0
219, Hongzhao He, 0, 0, 1, 0, 0, 0
